# Table 2: Raw sequencing reads of all expressed small non-coding RNA species by tissue type. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Name:,Chromosomal Position,,,,BREAST,,,,,CNS,,,,,,COLON,,,,,,,LEUKEMIA,,,,,,MELANOMA,,,,,,,,,NSCLC,,,,,,,,,OVARIAN,,,,,,,PROSTATE,,RENAL,,,,,,,
mature,structure,chromosome,start,stop,BT-549,HS-578T,MCF-7,MDA-MB-231,T-47D,SF-539,SF-295,SF-268,U251,SNB-75,SNB-19,COLO 205,HCT-15,HCC2998,HCT-116,HT-29,KM12,SW-620,CCRF-CEM,HL-60(TB),K-562,MOLT-4,RPMI 8226,SR,MALME-3M,LOX-IMVI,M14,MDA-MB-435,SK-MEL-28,SK-MEL-5,SK-MEL-2,UACC-257,UACC-62,A549,EKVX,HOP 92,HOP 62,NCI-H23,NCI-H322M,NCI-H226,NCI-H460,NCI-H522,IGR-OV1,NCI/ADR-RES,OVCAR-3,OVCAR-8,OVCAR-4,OVCAR-5,SK-OV-3,DU-145,PC-3,A498,CAKI-1,786-0,ACHN,RXF393,SN12C,TK-10,UO-31
hsa-miR-1911-3p,miRNA,chrX,114763232,114763251,1,1,1,0,0,1,1,0,0,1,1,2,0,1,0,0,1,1,1,1,2,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0,1,1,0,1,0,0,0,1,0,1,2,0,2
hsa-miR-1911-5p,miRNA,chrX,114763195,114763217,6,1,46,0,0,0,0,0,2,1,2,1,0,0,0,1,1,3,0,0,14,1,20,1,0,1,2,0,0,3,5,0,0,2,0,3,0,4,1,0,0,3,2,1,0,1,2,1,3,0,1,3,0,0,1,0,0,1,0
hsa-miR-1912,miRNA,chrX,114651589,114651610,1,1,2,0,0,0,0,0,0,2,3,2,0,1,0,1,1,2,0,1,4,0,0,1,0,0,0,0,1,2,3,0,1,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,1,1,0,1,1,2,0,0,1,0
hsa-miR-1913,miRNA,chr6,166509364,166509385,27,10,14,6,3,3,2,9,8,5,9,0,5,3,3,6,11,12,3,7,9,1,13,6,0,5,19,12,3,2,22,0,6,3,10,2,1,3,3,3,0,5,5,3,24,4,21,4,1,24,7,3,0,6,2,33,7,5,3
hsa-miR-1914-3p,miRNA,chr20,63941474,63941495,2,4,11,1,5,6,0,2,2,0,9,6,4,3,5,18,15,4,1,0,9,3,4,6,0,2,2,6,4,5,6,0,12,5,6,1,0,23,10,2,6,13,8,2,27,4,1,1,21,8,4,1,1,3,0,4,4,1,0
hsa-miR-1914-5p,miRNA,chr20,63941511,63941532,19,7,34,9,21,14,3,25,6,4,26,12,10,3,33,31,23,11,17,7,18,15,7,11,0,16,29,23,11,34,40,0,38,6,18,10,5,57,66,10,10,87,69,15,114,13,33,6,46,13,28,11,2,16,3,32,20,3,6
hsa-miR-1915-3p,miRNA,chr10,21496576,21496595,4,4,9,2,5,17,0,10,1,1,10,0,20,2,20,4,4,0,2,1,10,4,0,0,0,3,2,2,1,4,4,0,5,13,35,9,3,136,34,11,33,662,6,5,149,3,16,1,7,17,7,4,5,19,11,31,21,16,7
hsa-miR-1915-5p,miRNA,chr10,21496609,21496630,10,9,4,1,13,31,4,9,5,1,7,2,48,1,19,4,6,5,1,1,1,3,8,0,0,10,0,2,3,8,9,0,4,43,41,13,3,292,55,17,32,1071,8,27,326,21,20,8,21,26,10,4,10,31,26,52,23,24,6
hsa-miR-192-3p,miRNA,chr11,64891159,64891180,78,121,141,60,192,21,164,65,73,29,68,17890,425,15119,71,16165,21612,6584,56,64,633,22,61,50,1,273,338,179,17,36,68,0,90,4544,69,116,136,26,97,81,112,219,347,99,131,117,90,507,96,763,156,134,54,87,1510,158,64,330,98
hsa-miR-192-5p,miRNA,chr11,64891203,64891223,7041,8445,14846,6063,16917,1565,10695,8124,7695,2476,6289,1504374,28375,1249927,4712,1446793,1547826,560844,4368,5369,41190,2926,4116,3566,104,16980,23763,11896,3011,3364,6578,4,6686,354053,6498,6022,8514,4711,7612,6187,9485,12144,28264,8212,10581,8953,8587,75173,11115,55185,12949,11157,6154,7765,100254,8929,5046,24147,6067
hsa-miR-193a-3p,miRNA,chr17,31560050,31560071,1111,914,557,66,396,242,240,84,12,7,25,12,59,395,15,50,51,17,8,30,37,25,23,5,1,1182,432,164,82,26,151,0,608,389,69,141,907,223,464,806,111,256,847,402,146,609,194,33,219,913,175,250,402,244,80,292,517,136,57
hsa-miR-193a-5p,miRNA,chr17,31560016,31560037,13090,23225,9518,1046,8293,37284,7630,19492,609,2857,558,243,957,6470,1048,816,1289,359,232,719,921,746,422,245,29,21344,8795,4546,2160,993,6627,3,13549,2459,6981,8730,7875,3816,5590,14673,1722,6048,13197,9655,1840,15675,4517,740,5434,19529,4463,12701,12785,26988,1548,26236,10092,3928,892
hsa-miR-193b-3p,miRNA,chr16,14304017,14304038,3464,2346,13565,1088,6021,9739,997,3230,1099,518,1224,400,4281,112,2037,6182,1508,819,195,48,2098,155,3386,290,14,313,6960,2587,2058,910,5787,4,2487,19317,5007,1148,2731,1133,16238,3725,6372,1628,4659,10544,4716,14226,6386,3136,33360,3614,1339,16443,1791,10247,4996,23674,8236,3459,1792
hsa-miR-193b-5p,miRNA,chr16,14303980,14304001,405,596,1688,141,834,2946,242,994,280,302,194,38,987,26,446,697,305,204,51,8,616,32,840,59,2,64,1109,468,270,134,802,1,315,1539,1482,237,468,143,2316,541,995,217,798,1324,647,2522,999,449,4639,584,200,3200,521,2406,948,6418,1691,496,389
hsa-miR-194-3p,miRNA,chr11,64891368,64891389,67,105,160,74,160,25,196,215,142,63,106,15133,623,12662,86,15426,22465,8930,97,98,651,44,52,53,2,235,400,196,24,29,60,0,72,4256,102,98,90,41,89,78,142,180,275,96,111,128,93,825,167,912,112,181,97,132,1544,161,86,394,109
hsa-miR-194-5p,miRNA,chr11,64891404,64891425,1714,2533,6183,1476,3818,464,2237,3109,1298,590,1361,262291,5319,420723,2161,383023,368510,132701,1033,1140,10335,676,955,708,29,5060,4535,2858,674,451,1585,1,1564,74962,1884,1623,2269,1127,1736,1514,1916,3395,6484,2247,2539,2073,1526,14555,2397,15929,2696,3560,999,2185,16829,2421,1051,7279,1182
hsa-miR-195-3p,miRNA,chr17,7017628,7017649,238,145,286,14,74,201,6,101,21,42,26,25,26,9,14,8,8,25,11,3,54,1,3,2,0,38,49,297,4,82,2,0,11,37,52,10,20,151,13,3,47,29,21,100,61,70,20,6,15,113,6,81,6,17,51,40,35,30,19
hsa-miR-195-5p,miRNA,chr17,7017667,7017687,394,254,447,16,72,92,5,133,29,31,31,31,18,11,11,7,6,26,24,8,40,12,3,7,0,87,18,136,3,49,6,0,16,24,58,12,32,88,12,8,23,25,16,73,47,68,21,10,14,91,5,79,5,22,39,60,30,117,8
hsa-miR-196a-3p,miRNA,chr12,53991799,53991820,57,5,10,2,76,7,412,5,86,3,71,1,4,0,10,5,40,39,0,122,10,2,1,6,0,36,165,154,85,26,4,0,18,4,72,3,2,20,6,1,3,190,3,149,2,150,1,4,4,178,0,7,12,12,82,29,6,9,13
hsa-miR-196a-5p,miRNA,chr12,53991762,53991783,28368,2601,570,41,22720,10490,4646,11985,3718,2085,3389,966,3655,6689,2745,15658,3981,12971,68,3497,2032,47,46,1833,4,913,5792,3759,1592,861,2383,0,4713,3601,12993,125,1208,5429,203,93,5764,5124,165,7607,1237,7901,853,3223,1928,4413,147,5000,4630,9468,4859,19133,2132,2933,2479
hsa-miR-196b-3p,miRNA,chr7,27169493,27169514,29,22,8,0,4,17,6,9,10,3,8,23,35,3,20,116,64,147,1,9,2,3,1,6,0,4,8,3,0,1,2,0,2,22,8,3,12,3,6,5,82,1,4,13,165,6,18,6,19,32,55,99,21,80,375,45,3,32,107
hsa-miR-196b-5p,miRNA,chr7,27169528,27169549,14797,8140,2865,44,1375,16212,1190,7996,4100,2198,769,10890,10624,372,14608,70095,30904,52669,510,2902,311,57,276,467,7,2422,1628,1083,185,122,323,5,1250,6460,12025,1796,3679,1703,1047,2682,36623,618,723,6501,72481,6088,7596,7818,7817,17957,40784,86268,20773,124561,94691,104052,1124,33130,30883
hsa-miR-197-3p,miRNA,chr1,109598940,109598961,30909,18660,11976,10185,6092,29482,6400,32497,10977,4216,14209,3726,11924,3303,15418,25223,8779,10809,10218,6524,27570,7202,3960,4002,23,12145,18950,6756,14939,10467,50463,4,9096,9659,11654,7868,6486,11444,21057,10447,5443,26143,15352,8339,20932,22284,17686,7284,33817,10565,15314,6745,4528,21773,5597,63730,11376,13469,4500
hsa-miR-197-5p,miRNA,chr1,109598901,109598923,27,35,29,13,2,34,11,66,10,8,25,7,29,13,41,94,28,19,12,7,51,12,10,14,0,22,26,16,23,13,72,0,15,10,14,6,4,21,26,20,26,87,45,32,40,39,38,24,50,21,15,10,6,39,4,198,24,10,10
hsa-miR-1972,miRNA,chr16,70030393,70030414,1053,491,166,148,63,1434,1822,904,292,122,427,370,931,519,194,228,254,600,81,1193,617,20,594,295,1,721,872,507,628,351,337,0,603,148,351,498,265,404,1894,183,329,405,246,498,2158,1423,1041,460,846,210,465,680,982,767,469,2834,643,623,260
hsa-miR-1973,miRNA,chr4,116299750,116299768,14,4,2,0,2,1,3,1,3,1,2,2,1,2,1,3,0,4,0,0,11,4,17,3,0,7,0,4,3,0,4,0,22,0,1,14,1,1,0,12,7,3,25,1,25,0,3,0,6,0,11,10,13,11,20,5,1,37,2
hsa-miR-1976,miRNA,chr1,26554574,26554593,76,26,202,50,96,31,54,110,47,22,41,71,135,273,139,361,173,80,155,381,276,60,177,77,0,45,142,100,84,71,130,0,51,53,60,32,66,99,193,81,52,165,276,105,471,130,208,204,353,228,326,52,74,112,79,216,61,56,42
hsa-miR-198,miRNA,chr3,120395703,120395724,3,0,2,0,1,0,0,1,6,3,2,1,1,2,2,1,1,6,0,2,0,0,0,2,0,0,1,1,1,0,0,0,0,0,2,0,2,2,1,2,0,1,0,4,0,0,0,0,0,1,1,0,0,2,1,0,4,2,0
hsa-miR-199a-5p,miRNA,chr1,172144592,172144614,45,76008,32,4,24,79191,272,100,703,7,30,1,19,9,18,404,354,18,15,8,490,10,10,8,4,4478,307,2,204,127,154,0,28,10,9,36,136,31,69,8,18,61,1063,7,37,5,29,6,277,15,64,28,8,27,22,335,7,25,21
hsa-miR-199b-5p,miRNA,chr9,128244783,128244805,8,46,40,3,116,231,9,1,7,6,3,1,15,12,153,8,55,542,491,2351,1065,19,127,7,1,11,74,15,3,10,185,0,1713,4,12,7,20,184,2,3,3,87,298,3,98,3,57,5,41,107,10,4,5,4,3,6,6,14,2
hsa-miR-19a-3p,miRNA,chr13,91350939,91350961,3790,1188,1076,1650,833,2161,846,1581,918,317,1384,6748,3603,3624,2894,7455,8972,8698,4988,8355,58375,5722,5910,4331,4,4763,3298,1824,1132,3224,2224,2,2157,3308,1084,1710,1781,1119,5603,919,4195,3313,5125,2266,7055,4917,1962,2638,2859,1780,7583,786,1501,1638,2186,5075,2130,2843,1261
hsa-miR-19a-5p,miRNA,chr13,91350904,91350925,5,6,6,5,4,0,3,0,1,1,4,7,19,23,2,26,18,22,4,32,145,20,35,21,0,11,5,3,0,6,6,0,4,6,5,2,3,2,18,7,14,11,11,6,21,16,3,10,3,5,15,0,3,1,10,3,12,3,4
hsa-miR-19b-1-5p,miRNA,chr13,91351207,91351229,573,200,222,280,83,337,250,290,121,75,357,884,944,1216,264,1080,1767,2719,1253,3097,12110,1496,1753,896,4,1871,803,531,236,594,476,0,329,521,150,344,292,211,621,190,812,474,692,591,1193,1200,348,601,599,540,904,214,400,261,587,585,459,431,277
hsa-miR-19b-2-5p,miRNA,chrX,134169727,134169748,0,1,0,1,0,0,0,0,2,0,2,0,0,2,0,0,1,2,10,0,1,2,0,2,0,0,8,20,0,0,1,0,0,0,1,0,0,1,1,1,2,15,0,5,2,3,0,0,0,4,0,1,1,0,1,0,2,2,0
hsa-miR-19b-3p,miRNA,chrX,134169683,134169705,20756,5054,5191,9285,3847,10807,6355,5527,4226,1178,7299,38398,19243,21307,9292,34262,38472,40863,35869,45044,194307,33097,27757,16037,37,33688,20033,18556,4139,12314,11685,8,9082,17627,3825,9738,11558,4892,27289,6073,17056,24324,20017,15427,30219,28979,10295,12506,18665,9191,32613,6897,5623,7319,12502,21758,9358,14286,5481
hsa-miR-200a-3p,miRNA,chr1,1167916,1167937,367,865,31818,516,16566,60,88,45,270,159,331,62780,22199,70084,6202,181834,80373,19661,140,242,845,326,1596,211,13,6859,668,294,59,47,69,12,925,1307,2014,1172,814,406,58403,848,267,420,8459,1040,51799,3037,17692,29589,5814,13642,4441,1981,8406,11747,12664,27882,188,4687,11852
hsa-miR-200a-5p,miRNA,chr1,1167878,1167899,365,878,23071,330,9161,99,173,99,245,116,209,62694,25400,71653,14561,148742,74327,17830,174,264,740,169,1968,167,14,6920,541,166,115,72,103,8,498,789,2926,1925,673,279,33505,626,292,403,6047,817,39603,3556,16399,38067,5311,13365,4209,2837,13607,20743,16770,64096,142,5882,11708
hsa-miR-200b-3p,miRNA,chr1,1167160,1167181,736,1686,66524,1134,26052,211,285,182,561,284,642,195479,47210,122835,25494,357824,155456,50913,324,511,1553,676,2620,397,39,14212,1276,562,187,142,182,21,1429,2814,7623,5017,1436,891,116207,1749,501,718,15597,1998,106718,6138,38459,61041,15932,32886,9688,9412,15119,54769,28892,135096,342,14360,19796
hsa-miR-200b-5p,miRNA,chr1,1167124,1167145,14,23,730,9,254,4,6,5,6,8,11,3316,812,2554,466,5279,3197,717,5,10,23,3,67,10,0,212,16,6,6,6,3,0,17,47,79,75,34,7,1150,29,11,15,264,39,1664,174,701,1052,354,394,135,129,350,767,527,2711,4,361,364
hsa-miR-200c-3p,miRNA,chr12,6963742,6963764,795,3321,551330,9036,76152,145,583,555,679,328,1439,353593,407656,312806,315376,925059,556827,6454,1641,3386,6132,6913,2781,716,115,5096,3258,6103,66,110,1010,202,13385,2481,130786,3562,4729,8578,1937581,11001,16805,5133,51275,6892,549573,4618,235707,489537,241,249989,3487,1664,798,1470,977,513,547,631,7466
hsa-miR-200c-5p,miRNA,chr12,6963703,6963724,11,32,3879,39,414,3,6,0,5,3,14,3304,7646,3841,3277,7378,9120,32,7,53,52,25,26,10,1,68,42,26,0,1,3,0,55,21,920,43,64,48,11083,68,264,53,398,35,6645,56,2533,4668,0,2517,41,20,15,8,10,0,1,4,30
hsa-miR-202-3p,miRNA,chr10,133247538,133247557,0,1,2,0,2,3,0,0,2,0,1,0,0,0,1,1,1,1,0,0,67,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1
hsa-miR-202-5p,miRNA,chr10,133247572,133247593,2,4,8,7,0,1,5,2,2,2,4,6,1,2,1,8,17,2,1,0,980,0,0,1,0,5,3,3,1,1,5,0,0,0,3,5,1,6,9,0,4,53,4,3,2,8,14,3,0,6,3,1,1,0,1,3,1,2,1
hsa-miR-203a-3p,miRNA,chr14,104117469,104117490,87,101,44482,528,65297,6,25,15,335,253,319,19979,54636,61550,14593,25295,4254,14936,1757,350,99,442,1299,624,0,156,69,376,7,2,8,1,594,84,14505,324,603,2054,70016,665,1171,409,239,6770,10228,3473,6457,2530,491,1787,191,5024,215,60,120,433,263,1544,96
hsa-miR-203a-5p,miRNA,chr14,104117431,104117455,1,0,83,0,44,1,0,0,0,0,2,28,75,86,6,38,2,15,1,1,1,1,2,2,0,0,0,0,0,0,0,0,1,1,2,1,2,7,129,2,1,1,0,8,26,10,8,1,0,2,2,3,2,1,0,1,1,6,0
hsa-miR-203b-3p,miRNA,chr14,104117428,104117450,4,5,39,3,1501,2,0,1,12,8,13,801,1245,2091,1659,925,70,1148,2,11,0,1,8,22,0,10,4,3,0,2,4,0,6,4,342,16,19,369,98,13,26,24,5,43,294,14,23,91,57,129,8,9,6,5,0,18,26,30,21
hsa-miR-203b-5p,miRNA,chr14,104117468,104117489,1,0,78,1,56,0,0,0,1,2,2,17,51,35,21,37,8,12,1,1,1,3,2,1,0,0,0,1,0,0,0,0,2,3,9,1,1,1,128,2,2,0,0,13,15,10,11,2,0,4,2,0,1,0,0,0,0,3,0
hsa-miR-204-3p,miRNA,chr9,70809993,70810013,0,5,1,2,1,0,3,0,6,1,23,0,1,1,0,0,1,22,0,0,0,0,0,9,0,2,38,77,137,134,28,0,36,0,0,0,3,2,0,1,13,1,0,0,2,0,0,0,1,1,0,0,0,0,1,4,1,1,0
hsa-miR-204-5p,miRNA,chr9,70810031,70810052,27,331,37,345,23,86,149,69,579,158,2186,5,19,27,7,17,12,1937,0,5,66,6,64,664,3,7,3886,4298,16158,17885,5964,3,6765,1,11,5,268,32,40,32,1173,19,14,16,4,8,10,3,168,6,5,10,175,25,149,162,52,31,30
hsa-miR-205-3p,miRNA,chr1,209432203,209432223,0,0,9,3,24,0,0,0,1,0,9,0,1,0,1,232,1,1,1,1,2,4,2,2,0,1,2,2,0,0,0,0,2,0,0,0,1,4,808,4,1,0,1,1,12,0,3,1,0,0,0,0,0,1,1,0,0,0,1
hsa-miR-205-5p,miRNA,chr1,209432166,209432187,2,682,3645,2276,41723,3,82,2,195,174,4409,4,3,2,34,294675,544,283,1,3,706,1874,610,223,15,1136,431,1924,4,1,4,0,6,2,57,4,66,2001,745215,3493,44,75,486,1181,12914,40,4773,2636,751,5,107,35,21,84,11,6,103,459,2
hsa-miR-2052,miRNA,chr8,74705694,74705713,4,1,4,4,1,0,3,0,4,3,4,3,2,2,0,0,2,2,0,3,2,4,2,2,0,3,1,1,0,0,0,0,2,6,5,2,5,0,1,2,1,4,1,3,0,2,1,0,2,6,0,1,3,2,0,2,1,2,0
hsa-miR-2053,miRNA,chr8,112643553,112643575,0,0,0,1,0,0,0,0,0,0,1,0,1,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
hsa-miR-2054,miRNA,chr4,125507259,125507281,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
hsa-miR-206,miRNA,chr6,52144401,52144422,0,0,2,3,0,0,0,10,0,0,0,0,0,2,0,0,1,5,1,0,1,0,0,1,0,1,0,1,0,0,2,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,2,0,4,0,1,0,0,0
hsa-miR-208a-3p,miRNA,chr14,23388602,23388623,17,5,44,15,12,1,1,2,23,13,32,23,17,20,13,11,4,26,17,13,7,10,8,23,0,9,4,14,0,1,1,0,1,22,15,21,15,9,17,10,6,15,5,17,7,5,7,3,1,39,8,21,18,24,16,3,12,19,0
hsa-miR-208a-5p,miRNA,chr14,23388637,23388658,1,0,2,0,0,0,1,0,2,0,0,0,2,1,0,0,0,2,0,0,2,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0,0,2,2,0,0,0,1,1,0,1
hsa-miR-208b-3p,miRNA,chr14,23417997,23418018,2,3,6,0,1,0,1,0,5,1,1,0,1,2,1,1,2,2,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,2,1,1,2,1,2,0,1,1,0,0,0,1,3,0,0,0,0,1,0,0,2,1
hsa-miR-208b-5p,miRNA,chr14,23418032,23418053,1,0,1,2,2,0,0,0,1,1,3,3,1,2,0,0,0,5,2,3,1,0,2,0,0,0,1,1,0,0,0,0,2,1,2,3,2,0,0,4,0,1,0,2,0,0,3,1,0,4,0,2,1,5,0,0,2,3,1
hsa-miR-20a-3p,miRNA,chr13,91351108,91351129,938,223,350,399,210,534,359,240,195,50,257,2060,1532,752,448,1794,2208,2309,1482,3470,10400,1380,2460,686,2,1923,955,474,202,780,656,0,407,600,134,559,856,264,1216,307,677,715,956,919,1807,1596,530,486,706,265,2182,194,452,236,710,1137,568,492,340
hsa-miR-20a-5p,miRNA,chr13,91351072,91351094,34567,13611,12578,18234,8907,15515,11920,23354,6839,3699,15162,51429,37348,46817,25773,78342,62816,117265,78221,106309,474137,92004,62706,33455,74,83214,21954,18355,9364,20301,27715,20,21477,20373,7740,14055,12935,8655,44567,10270,36976,34462,36562,32134,44008,48817,19371,36123,25157,26817,49831,14230,13284,21479,25597,54869,18124,23926,13219
hsa-miR-20b-3p,miRNA,chrX,134169813,134169834,19,3,35,19,17,1,0,15,323,278,434,9,1,1,0,8,7,7,5464,39,4,948,20,5,1,6,2469,3583,2,2,266,0,0,18,5,0,1,218,198,24,31,4485,70,505,64,758,24,42,2,17,19,59,12,17,17,2,6,7,1
hsa-miR-20b-5p,miRNA,chrX,134169850,134169872,339,75,570,291,381,39,50,358,4736,5152,7615,233,126,117,117,257,233,1193,88589,729,703,18779,325,388,20,240,25915,65236,25,43,6022,0,86,327,235,57,64,3344,4073,473,472,67628,1725,11757,802,13770,351,1024,143,547,259,1415,167,301,182,49,299,288,53
hsa-miR-21-3p,miRNA,chr17,59841311,59841331,120880,92191,225065,68192,17412,65607,436061,19355,197642,10644,269157,254722,143344,74526,69974,124210,191580,155246,4458,17611,195338,7691,16420,75551,280,234751,160321,33426,31168,132977,68893,17,69704,333327,49310,75207,345341,103116,280919,66578,48242,236153,143889,113693,63417,281367,138925,172134,262505,257924,143086,53678,497900,36822,376464,19844,82672,63223,111535
hsa-miR-21-5p,miRNA,chr17,59841273,59841294,1907741,4572553,16210293,2317638,634741,4701086,8944127,3448771,3261857,1567479,7612623,2505709,1824951,2059680,3255786,5679037,2211799,2552311,150926,217209,2513520,297344,289395,1158110,6197,5180436,1736963,726869,1405290,1895879,4446866,678,2967634,7136044,3134081,2810805,4856220,1802184,4382023,1623020,791395,8595610,2550836,2417248,1426787,3485714,3327221,4667347,5511383,12762240,2836104,5395427,6029216,4487992,6245782,795760,1141266,2814038,2209387
hsa-miR-210-3p,miRNA,chr11,568112,568133,78037,96133,20914,16956,18764,89747,18246,279023,63719,24881,31886,13703,28835,6720,10342,41482,30907,15145,10894,9593,42716,2003,4575,28255,277,34626,29836,7122,35881,4996,9169,28,82687,11445,43964,23957,58553,12040,75919,14948,3809,40789,182466,12879,20653,19540,58278,127053,87736,56820,28282,47079,17645,45634,14134,126757,69956,23718,39488
hsa-miR-210-5p,miRNA,chr11,568150,568171,102,172,20,55,24,355,31,501,66,39,104,14,38,6,24,45,65,20,32,32,124,4,1,91,1,42,52,17,26,11,12,0,186,19,54,53,70,27,101,12,8,110,269,10,45,43,67,70,181,71,34,103,12,132,22,290,138,50,88
hsa-miR-211-3p,miRNA,chr15,31065059,31065079,2,1,1,0,1,1,1,0,3,0,2,1,0,4,0,0,0,1,0,2,0,2,0,2,0,0,98,7,75,16,1,0,0,1,0,0,0,0,1,3,0,0,0,2,1,0,0,0,2,2,1,0,1,0,0,0,4,1,0
hsa-miR-211-5p,miRNA,chr15,31065095,31065116,1,83,25,13,4,192,276,103,3,0,2,23,0,2,9,112,164,3,2,1,92,7,9,2,30,119,42564,5423,55048,12807,1898,0,21,0,0,3,2,13,23,29,1,0,70,15,22,7,14,2,201,2,3,1,0,1,8,317,6,3,4
hsa-miR-2110,miRNA,chr10,114174151,114174172,42,37,190,27,32,61,14,120,15,13,55,19,89,21,99,282,105,76,24,7,55,42,23,14,0,39,27,35,35,33,39,0,39,30,79,13,12,25,136,12,44,81,96,19,315,53,162,54,82,137,20,21,26,149,9,266,110,10,22
hsa-miR-2113,miRNA,chr6,98024586,98024606,0,0,0,1,0,0,0,1,4,2,3,0,1,2,0,0,0,5,0,3,1,0,1,1,0,3,0,1,0,3,63,0,3,0,19,2,0,0,2,0,0,1,0,1,2,0,0,0,2,15,3,0,1,1,1,1,2,2,1
hsa-miR-2114-3p,miRNA,chrX,150228052,150228072,108,6,3,1,0,0,0,0,2,0,7,4,0,0,0,2,1,1,0,0,2,2,0,1,0,2,1,0,2,0,3,0,5,2,1,0,8,3,2,3,1,0,1,0,2,1,0,0,15,3,1,1,0,1,0,0,1,6,1
hsa-miR-2114-5p,miRNA,chrX,150228016,150228037,189,24,11,0,2,2,0,1,4,0,8,8,1,1,4,0,4,2,0,0,7,1,0,0,0,0,0,1,1,0,3,0,3,6,1,0,2,6,5,0,5,2,9,1,5,1,0,1,20,2,4,4,2,1,3,0,1,1,0
hsa-miR-2115-3p,miRNA,chr3,48316381,48316402,5,1,2,1,4,5,4,2,4,1,5,1,2,4,12,1,7,6,4,10,11,8,1,5,0,17,7,8,3,2,7,0,4,1,4,1,0,2,11,1,2,2,4,0,2,4,6,0,6,4,4,2,0,1,2,5,1,2,2
hsa-miR-2115-5p,miRNA,chr3,48316418,48316439,1,1,3,0,0,1,0,3,2,0,1,0,0,2,1,1,2,0,2,3,2,1,0,0,0,0,2,1,0,1,0,0,0,1,0,2,1,1,4,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1
hsa-miR-2116-3p,miRNA,chr15,59171192,59171212,27,39,6,0,4,42,11,41,16,16,24,10,14,11,56,79,37,21,0,0,1,1,2,8,0,37,27,24,30,13,74,0,24,76,168,2,5,7,13,3,52,1,22,10,30,18,14,35,73,63,20,15,15,80,33,96,16,18,16
hsa-miR-2116-5p,miRNA,chr15,59171229,59171249,11,7,2,3,2,19,1,9,13,2,17,3,6,9,15,32,22,10,0,2,1,0,6,5,1,18,21,9,23,6,32,0,7,87,46,5,3,7,8,4,24,2,13,7,17,7,3,15,50,29,11,6,16,24,21,43,6,11,7
hsa-miR-2117,miRNA,chr17,43444856,43444876,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,4,1,1,0,0,1,3,0,0,1,1,3,0,1,0,0,1,0,0,1,2
hsa-miR-212-3p,miRNA,chr17,2050290,2050310,251,34,121,54,27,33,31,46,42,3,111,6,61,268,39,168,118,365,6,3,185,5,14,19,1,687,97,86,55,79,101,0,50,71,95,65,96,1356,96,69,148,447,23,38,5,23,93,78,39,121,41,76,26,40,34,53,78,12,16
hsa-miR-212-5p,miRNA,chr17,2050328,2050350,32,10,5,6,4,6,1,5,6,4,16,2,11,17,5,10,11,34,2,2,17,1,1,5,0,63,6,10,3,14,10,0,7,7,19,4,6,162,7,6,4,44,7,3,2,2,8,7,1,15,6,11,2,8,2,6,9,3,2
hsa-miR-214-3p,miRNA,chr1,172138816,172138837,2,231,0,0,0,969,2,2,7,0,1,1,0,0,0,1,1,0,0,1,5,1,0,0,0,2,2,0,1,1,3,0,1,0,1,0,0,2,1,1,0,2,6,0,0,1,0,0,5,0,0,0,0,1,0,7,0,2,4
hsa-miR-214-5p,miRNA,chr1,172138857,172138878,0,57,0,0,0,86,3,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,3,1,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-215-3p,miRNA,chr1,220117877,220117899,1,4,3,0,0,0,1,0,1,1,2,31,5,80,0,16,1451,3,3,2,9,1,1,0,0,3,6,1,1,2,0,0,2,0,0,0,0,1,1,0,3,0,6,1,0,1,2,0,0,4,0,0,0,0,2,0,2,2,0
